,Date,Day Name,Day,Mouth,Year,Time,Latitude,Longitude,Zone,Slot_id,Legal,Covid,Lockdown
103,2018-01-03,Wednesday,3,1,2018,12:12,40.63627318,22.94609199,A,20548,1,0,0
104,2018-01-03,Wednesday,3,1,2018,12:12,40.63615269,22.9458749,A,20548,0,0,0
105,2018-01-03,Wednesday,3,1,2018,12:12,40.63624503,22.94604492,A,20548,0,0,0
106,2018-01-03,Wednesday,3,1,2018,12:12,40.63624503,22.94604492,A,20548,1,0,0
107,2018-01-03,Wednesday,3,1,2018,12:12,40.63622808,22.94602771,A,20548,0,0,0
108,2018-01-03,Wednesday,3,1,2018,12:12,40.63619674,22.94600556,A,20548,0,0,0
109,2018-01-03,Wednesday,3,1,2018,12:13,40.63611676,22.94587682,A,20548,1,0,0
110,2018-01-03,Wednesday,3,1,2018,12:13,40.63610015,22.94590707,A,20548,0,0,0
111,2018-01-03,Wednesday,3,1,2018,12:13,40.63612176,22.94580991,A,20548,0,0,0
112,2018-01-03,Wednesday,3,1,2018,12:13,40.63614854,22.9458276,A,20548,1,0,0
113,2018-01-03,Wednesday,3,1,2018,12:13,40.63601114,22.94592416,A,197,1,0,0
114,2018-01-03,Wednesday,3,1,2018,12:13,40.6361191,22.94579913,A,20548,0,0,0
115,2018-01-03,Wednesday,3,1,2018,12:13,40.63601114,22.94592416,A,197,1,0,0
116,2018-01-03,Wednesday,3,1,2018,12:14,40.63609708,22.94578365,A,20548,1,0,0
117,2018-01-03,Wednesday,3,1,2018,12:15,40.6369343,22.94615627,A,20783,1,0,0
118,2018-01-03,Wednesday,3,1,2018,12:15,40.63699046,22.94608838,A,20783,0,0,0
119,2018-01-03,Wednesday,3,1,2018,12:16,40.63700789,22.94606484,A,20783,1,0,0
120,2018-01-03,Wednesday,3,1,2018,12:16,40.63701255,22.94605008,A,20783,1,0,0
121,2018-01-03,Wednesday,3,1,2018,12:16,40.63700641,22.94603837,A,20783,0,0,0
122,2018-01-03,Wednesday,3,1,2018,12:16,40.63701139,22.94602224,A,20783,1,0,0
